condition,subcondition,time (s),Time_min,Time_h,Mean Intensity,Protein Concentration_ng_ul,Protein Concentration_nM,Unnamed: 0,frame,x [m]_mean,y [m]_mean,u [m/s]_mean,v [m/s]_mean,data type [-]_mean,vorticity [1/s]_mean,velocity magnitude [m/s]_mean,divergence [1/s]_mean,dcev [1]_mean,shear [1/s]_mean,strain [1/s]_mean,vector direction [degrees]_mean,correlation length [m]_mean,distance [m]_mean,power [W]_mean,work [J]_mean,time (min),time (h)
AdPa-1,Rep1,0,0.0,0.0,130.76347272147598,0.1702651048818433,6.30611499562383,0.0,0.0,0.0013880638025169,0.0014246707826542,-6.626728534364319e-09,-4.830855586071411e-09,1.0,8.477824753203637e-07,1.2534342060310637e-08,1.2775355833373229e-06,16.032398120030226,1.285000430997823e-06,8.856188236598854e-07,-50.12230031115393,0.000271575981668,0.0,4.2603998846879865e-21,4.2603998846879865e-21,0.0,0.0
AdPa-2,Rep1,0,0.0,0.0,131.6192238969985,0.1960399766980662,7.260739877706158,0.0,0.0,0.0015005767815144,0.0013422855058684,-1.6837133472122963e-09,2.261006233606955e-09,1.0,-3.66523284051533e-07,4.0543951965622495e-09,-8.950274242462431e-07,18.704792564723025,-5.398150938288922e-07,-9.85824564767698e-08,54.70513640720381,0.0002615608223752,0.0,4.805479895937745e-22,4.805479895937745e-22,0.0,0.0
AdPa-3,Rep1,0,0.0,0.0,132.20359070210898,0.2049836386821395,7.591986617857032,0.0,0.0,0.0013714115518578,0.0014370061516625,-2.8960474565809317e-09,1.2941450213552244e-08,1.0,-5.858746503887552e-06,1.739736109764191e-08,-8.112259152126162e-07,15.585018125441596,1.121165663110288e-06,2.212640969776377e-07,55.85463630145341,0.0004381061383865,0.0,3.1538285094480548e-21,3.1538285094480548e-21,0.0,0.0
D-1,Rep1,0,0.0,0.0,131.0911528656021,0.1843514881202042,6.827832893340883,0.0,0.0,0.0013914260842852,0.0013800952249655,-7.503287590887661e-09,-2.172126490132181e-09,1.0,1.5691795793835504e-06,1.3313855003659094e-08,-1.0357813891612194e-06,18.098995649946577,-1.8157289455357133e-06,8.42620592485853e-08,-13.07622035063281,0.0002286122779503,0.0,6.783261179750063e-21,6.783261179750063e-21,0.0,0.0
D-2,Rep1,0,0.0,0.0,131.6138602838263,0.1976201394233525,7.319264423087134,0.0,0.0,0.0014000617954041,0.0013755671840922,4.27898494087403e-08,-5.6820924304822374e-08,1.0,4.291691030119751e-06,7.871402965182143e-08,-1.7849649279146497e-06,18.68490306361681,1.0798579659487403e-06,-7.686993643853145e-09,-31.67695601968216,0.0003882574528444,0.0,8.220432842602005e-20,8.220432842602005e-20,0.0,0.0
D-3,Rep1,0,0.0,0.0,129.98363722759234,0.1793038756477205,6.640884283248909,0.0,0.0,0.0013634819885503,0.0014244912222397,-9.505914679824632e-09,-6.033372321047058e-09,1.0,-4.06568338017868e-07,1.391338809141921e-08,-8.369108861858471e-07,22.51828152033554,7.041972899512047e-09,3.0226798523210504e-07,-68.47916583972524,0.0002429905260217,0.0,6.557180093665282e-21,6.557180093665282e-21,0.0,0.0
AdPa-1,Rep1,20,0.3333333333333333,0.0055555555555555,130.6210632517879,0.1598884387327555,5.9217940271391,,,,,,,,,,,,,,,,,,,,
AdPa-2,Rep1,20,0.3333333333333333,0.0055555555555555,131.0646469224672,0.1556307249026165,5.764100922319102,,,,,,,,,,,,,,,,,,,,
AdPa-3,Rep1,20,0.3333333333333333,0.0055555555555555,131.87152091214045,0.1807873731090126,6.695828633667162,,,,,,,,,,,,,,,,,,,,
D-1,Rep1,20,0.3333333333333333,0.0055555555555555,130.86732842826012,0.1680425202728255,6.223797047141716,1.0,1.0,0.0013907620268069,0.0013805052635886,-6.7015841038212626e-09,-1.743055735245385e-09,1.0,1.8302568319772072e-06,1.1991400914587653e-08,-1.0090594629161427e-06,20.88784975774749,-2.689336632402757e-06,-2.2321712836670253e-07,-12.7455440990809,0.0002264369997599,2.39828018291753e-07,5.608865918384285e-21,1.2392127098134347e-20,0.3333333333333333,0.0055555555555555
