condition,subcondition,time (s),Time_min,Time_h,Mean Intensity,Protein Concentration_ng_ul,Protein Concentration_nM,Unnamed: 0,frame,x [m]_mean,y [m]_mean,u [m/s]_mean,v [m/s]_mean,data type [-]_mean,vorticity [1/s]_mean,velocity magnitude [m/s]_mean,divergence [1/s]_mean,dcev [1]_mean,shear [1/s]_mean,strain [1/s]_mean,vector direction [degrees]_mean,correlation length [m]_mean,distance [m]_mean,power [W]_mean,work [J]_mean,time (min),time (h)
NaGr-1,Rep1,0,0.0,0.0,132.8091915563269,0.1954051688574489,7.237228476201835,0.0,0.0,0.0014327406111593,0.0014100180453531,-9.037805015230058e-09,1.771248838636544e-09,1.0,2.914600152219224e-06,2.894558675182556e-08,-4.612600843053131e-06,11.732765360207344,5.4463197704196525e-06,4.603666981144395e-06,10.443142388460762,8.949927246241906e-05,0.0,2.0919711972577365e-19,2.0919711972577365e-19,0.0,0.0
NaGr-1,Rep1,20,0.3333333333333333,0.0055555555555555,132.60213489662695,0.1803179851444731,6.678443894239763,1.0,1.0,0.0014358423531721,0.0014202578876086,-5.771711789378408e-09,2.806371804468416e-09,1.0,1.120206671678546e-06,9.340938524515864e-09,-1.5174189448446545e-06,17.28603208759189,-1.6073368799565985e-07,7.492870130677873e-08,52.66653004812061,9.369972038701484e-05,1.8681877049031737e-07,1.9876249223037272e-20,2.2907336894881093e-19,0.3333333333333333,0.0055555555555555
NaGr-1,Rep1,40,0.6666666666666666,0.0111111111111111,132.32188389757457,0.1598974958224897,5.922129474907081,2.0,2.0,0.0014360255785164,0.0014195069230175,-7.0014261307589165e-09,-1.0722318082572344e-09,1.0,4.311251892915569e-07,9.741078820483182e-09,-1.682090004452896e-06,15.275207429851362,-3.831152181381015e-07,3.19069194015087e-07,-16.614602837885553,9.796886297233206e-05,3.816403468999811e-07,1.977279097541657e-20,2.488461599242275e-19,0.6666666666666666,0.0111111111111111
NaGr-1,Rep1,60,1.0,0.0166666666666666,131.8878937841191,0.1282748057781013,4.75091873252228,3.0,3.0,0.0014377198137466,0.0014195819890734,-4.364589838007009e-09,-4.241528274368326e-09,1.0,3.771817660370726e-07,9.026916451240752e-09,-1.4587306634002083e-06,19.47322995608484,-3.889923900106602e-07,-3.999856264314323e-07,-63.99397125777442,0.000102287603909,5.62178675924796e-07,1.5576247189171134e-20,2.6442240711339864e-19,1.0,0.0166666666666666
NaGr-1,Rep1,80,1.3333333333333333,0.0222222222222222,131.7658598709339,0.1193828045736662,4.421585354580259,4.0,4.0,0.0014358264496757,0.001420247240885,-5.071656227033093e-09,-8.047949934967107e-10,1.0,5.286493997963786e-08,8.435749794568222e-09,-1.6611239013277218e-06,15.09795655577143,-1.1759431539400695e-06,3.72635475130349e-07,-10.250759052932754,0.0001066398971878,7.308936718161604e-07,1.2515204208702971e-20,2.769376113221016e-19,1.3333333333333333,0.0222222222222222
NaGr-1,Rep1,100,1.6666666666666667,0.0277777777777777,131.41155087279566,0.0935660790753498,3.4654103361241084,5.0,5.0,0.0014352261396886,0.0014196908214742,-3.224456253322405e-09,1.3209886434042564e-09,1.0,-4.677448848942038e-07,7.418130532104412e-09,-1.7066177861150635e-06,20.731759122055166,-3.662876716276119e-07,-2.250792976103985e-07,22.154962042012656,0.0001110132230179,8.792562824582486e-07,8.930371270774027e-21,2.8586798259287565e-19,1.6666666666666667,0.0277777777777777
NaGr-1,Rep1,120,2.0,0.0333333333333333,131.4716789292814,0.0979473099704062,3.6276781470521087,6.0,6.0,0.0014352190418791,0.0014196671797797,-3.538164372952759e-09,-3.1399918276372146e-11,1.0,1.748087351844482e-07,7.092355401532909e-09,-1.7210250513226436e-06,7.696392435305997,-7.630491258923924e-07,3.414216288563267e-07,-2.459932181944879,0.0001153991693029,1.0211033904889069e-06,7.554498005828042e-21,2.9342248059870367e-19,2.0,0.0333333333333333
NaGr-1,Rep1,140,2.333333333333333,0.0388888888888888,131.16647891852682,0.0757089108861688,2.804033736524815,7.0,7.0,0.0014352261396886,0.0014196908214742,-3.4195069573702856e-10,-8.231338718473153e-09,1.0,8.961114728725491e-07,1.0448258980591168e-08,-1.682562641092326e-06,17.120860921963548,-2.052760821032827e-07,-2.740390190247272e-07,-80.84066193877088,0.0001197937883415,1.2300685701007302e-06,1.5214204696196852e-20,3.0863668529490053e-19,2.333333333333333,0.0388888888888888
NaGr-1,Rep1,160,2.6666666666666665,0.0444444444444444,131.31364511047326,0.0864321756072961,3.2011916891590886,8.0,8.0,0.0014352261396886,0.0014196908214742,-5.6441773683012745e-09,1.7302772267765047e-09,1.0,3.571667809285473e-07,8.398035966513616e-09,-1.6712742496568153e-06,16.00402999706564,-8.184661460198121e-07,3.681031376552375e-07,39.81815436647787,0.0001241969480858,1.3980292894310026e-06,9.14457672853055e-21,3.1778126202343106e-19,2.6666666666666665,0.0444444444444444
NaGr-1,Rep1,180,3.0,0.05,131.25720928165347,0.0823199788847564,3.0488881068428384,9.0,9.0,0.0014352261396886,0.0014196908214742,-2.080017380071657e-09,-5.051338480313127e-10,1.0,4.1015076714764587e-07,6.589414277064378e-09,-1.7063586711136026e-06,20.75552627339008,-5.720436476326214e-07,-4.256502964301714e-08,-9.169424583905448,0.0001286135070531,1.5298175749722904e-06,5.249893086531136e-21,3.2303115510996223e-19,3.0,0.05
NaGr-1,Rep1,200,3.333333333333333,0.0555555555555555,131.17883572741934,0.0766092897782932,2.8373811028997693,10.0,10.0,0.0014351531139001,0.0014204876340394,-2.026651930640273e-09,-2.129684744373796e-09,1.0,8.049897795394762e-07,7.1772640248266806e-09,-2.2987536456763027e-06,19.32445599667086,-4.630754716631768e-08,1.6872670760294142e-08,-29.31138415724948,0.0001330513822391,1.673362855468824e-06,5.819813391231038e-21,3.288509685011932e-19,3.333333333333333,0.0555555555555555
NaGr-1,Rep1,220,3.6666666666666665,0.0611111111111111,131.14899557031447,0.0744349867014557,2.7568513593132025,11.0,11.0,0.0014351531139001,0.0014204876340394,-1.4394844257249848e-09,5.122624914174012e-09,1.0,-1.1437815787013338e-06,8.450229876701606e-09,-2.0340867474117025e-06,15.651152218578614,7.382515170538714e-08,2.781501696603016e-08,71.62642025134173,0.0001375231035207,1.8423674530028563e-06,7.551195484416627e-21,3.364021639856098e-19,3.6666666666666665,0.0611111111111111
NaGr-1,Rep1,240,4.0,0.0666666666666666,130.81213754686615,0.0498898264911087,1.847771351522596,12.0,12.0,0.0014357697072352,0.0014210556539352,-4.770575127799648e-09,-6.373388281575573e-10,1.0,-2.781669884281818e-07,7.914770239182797e-09,-1.7210356638824474e-06,14.72590062214119,-1.3971083606056665e-07,3.883065342763635e-07,-12.30595713991154,0.0001420431381161,2.000662857786512e-06,6.209635423622167e-21,3.4261179940923203e-19,4.0,0.0666666666666666
NaGr-1,Rep1,260,4.333333333333333,0.0722222222222222,131.06355416282346,0.0682092984604691,2.5262703133507216,13.0,13.0,0.0014353555095703,0.0014194697029162,1.2251034132031262e-09,-2.22577591365313e-09,1.0,1.0776662391560223e-06,6.928112779188711e-09,-1.5324793916312327e-06,13.1846395269937,1.1154030188299096e-07,-2.3598166099720352e-08,-22.692796097339624,0.0001466280568202,2.139225113370286e-06,4.46504391662013e-21,3.470768433258521e-19,4.333333333333333,0.0722222222222222
