condition,subcondition,time (s),Time_min,Time_h,Mean Intensity,Protein Concentration_ng_ul,Protein Concentration_nM,Unnamed: 0,frame,x [m]_mean,y [m]_mean,u [m/s]_mean,v [m/s]_mean,data type [-]_mean,vorticity [1/s]_mean,velocity magnitude [m/s]_mean,divergence [1/s]_mean,dcev [1]_mean,shear [1/s]_mean,strain [1/s]_mean,vector direction [degrees]_mean,correlation length [m]_mean,distance [m]_mean,power [W]_mean,work [J]_mean,time (min),time (h)
DiPu-1,Rep1,0,0.0,0.0,128.62574946004537,0.1353045312667751,5.0112789358065015,0.0,0.0,0.0013896027676949,0.0013837987925321,-4.85433420023231e-08,-4.676363495868437e-09,1.0,1.1314943515542307e-05,5.572073430330365e-08,1.6692922049352504e-05,11.639255741075171,3.86682912824395e-06,9.667447321790776e-06,-7.237165717308828,0.0002751389604438,0.0,8.202749964802157e-20,8.202749964802157e-20,0.0,0.0
DiPu-2,Rep1,0,0.0,0.0,128.92065458317933,0.1392303697175965,5.156680359911007,0.0,0.0,0.0015874820699127,0.0013951909599315,2.1127834783662097e-08,1.871317278734804e-09,1.0,-7.928537990584266e-06,2.4450928840914195e-08,1.0978671381455634e-05,22.310183679673088,6.111610323095428e-06,9.232304906974888e-06,18.53906371288016,0.0003010715489857,0.0,1.3191108276579507e-20,1.3191108276579507e-20,0.0,0.0
DiPu-3,Rep1,0,0.0,0.0,129.7669540179374,0.1698551490288586,6.29093144551328,0.0,0.0,0.0014037652892271,0.0013470295192502,-7.619780194161423e-08,-3.491005573339758e-08,1.0,-9.352257143851946e-07,8.649135778864506e-08,7.323240752445702e-06,18.85202189386912,1.4301007712202492e-05,-1.054268086709897e-06,-117.89541359703207,0.0004205411404981,0.0,8.459767923931025e-20,8.459767923931025e-20,0.0,0.0
TiLa-1,Rep1,0,0.0,0.0,128.99612635170598,0.0962208868911815,3.5637365515252384,0.0,0.0,0.001407020545661,0.0013943493123412,-3.0132658601522964e-09,-4.869245708310707e-09,1.0,-5.915117735613353e-06,2.3393593062253904e-08,-1.0694208834702108e-05,12.647661993999764,-2.924155733077116e-06,-4.156899054193985e-06,-20.364638795141616,0.0001413515522826,0.0,5.478008392878682e-20,5.478008392878682e-20,0.0,0.0
TiLa-2,Rep1,0,0.0,0.0,129.54471860871138,0.1031541883463633,3.8205254943097486,0.0,0.0,0.0014643299084998,0.0013998426241419,-4.553996350310063e-09,2.412812861635528e-10,1.0,9.5102371432311e-08,7.835285213974217e-09,-2.8968599730222085e-08,13.899147352246736,-2.9088579039171045e-07,8.865189237440471e-07,7.075112348443144,0.0001203564452143,0.0,8.476194450943589e-21,8.476194450943589e-21,0.0,0.0
TiLa-3,Rep1,0,0.0,0.0,129.5880774659597,0.0916797473719155,3.395546198959835,0.0,0.0,0.0014364691146799,0.0013623543988568,-5.645930192153424e-09,1.836488372593011e-09,1.0,-9.33533856159494e-07,8.344690642724622e-09,-4.60311394376592e-07,16.276250858837166,-3.643612653672353e-07,-7.4104112007820995e-09,32.86153775328667,0.0001734524057995,0.0,4.629028149986356e-21,4.629028149986356e-21,0.0,0.0
DiPu-1,Rep1,20,0.3333333333333333,0.0055555555555555,128.7484975450181,0.1442485705992133,5.342539651822733,1.0,1.0,0.0013884021349307,0.0013830722927346,-3.2101678512225554e-08,-3.835717097683936e-09,1.0,5.0959331813709324e-06,3.74019936989934e-08,1.1695905246545797e-05,14.112634838100684,4.462974337220419e-06,2.603603532306599e-06,-7.422352310170649,0.0002743125173604,7.480398739798678e-07,3.718161501146156e-20,1.1920911465948312e-19,0.3333333333333333,0.0055555555555555
DiPu-2,Rep1,20,0.3333333333333333,0.0055555555555555,129.08470139755042,0.1511836410083225,5.599394111419372,1.0,1.0,0.0015866425127693,0.0013957761065207,1.954993952243571e-08,-7.016582725998572e-09,1.0,-5.051098988387727e-06,2.3246498224977405e-08,9.253729139430648e-06,20.03172770708344,2.5363673589105265e-06,1.11382380851682e-05,-22.79233967842423,0.0002972866850179,4.649299644995481e-07,1.2229090586098582e-20,2.542019886267809e-20,0.3333333333333333,0.0055555555555555
DiPu-3,Rep1,20,0.3333333333333333,0.0055555555555555,129.55891910711117,0.1546966850466029,5.729506853577874,1.0,1.0,0.0014027031449323,0.0013458968098121,-6.040025853522598e-08,-3.809272612702251e-08,1.0,2.0176204812544987e-06,7.384952746284213e-08,8.147379733738144e-06,19.26617860503605,1.2692864804881376e-05,1.0190321376875838e-06,-129.35585157060748,0.0004167480036543,1.4769905492568428e-06,6.280270950610929e-20,1.4740038874541954e-19,0.3333333333333333,0.0055555555555555
TiLa-1,Rep1,20,0.3333333333333333,0.0055555555555555,129.17723772864545,0.1094175675502606,4.052502501861511,1.0,1.0,0.0014052962328992,0.0013972432281989,-2.3989887625065997e-09,-9.40167291165642e-10,1.0,-2.6938885372115133e-07,6.109948362325684e-09,-8.243924097532655e-07,17.97570636174261,-7.148355151674962e-07,-1.6466215990933128e-07,-19.594954315624417,0.0001493951344551,1.2219896724651373e-07,3.3452776455664805e-21,5.81253615743533e-20,0.3333333333333333,0.0055555555555555
