condition,subcondition,time (s),Time_min,Time_h,Mean Intensity,Protein Concentration_ng_ul,Protein Concentration_nM,Unnamed: 0,frame,x [m]_mean,y [m]_mean,u [m/s]_mean,v [m/s]_mean,data type [-]_mean,vorticity [1/s]_mean,velocity magnitude [m/s]_mean,divergence [1/s]_mean,dcev [1]_mean,shear [1/s]_mean,strain [1/s]_mean,vector direction [degrees]_mean,correlation length [m]_mean,distance [m]_mean,power [W]_mean,work [J]_mean,time (min),time (h)
K401_1p25nM-RT,Rep1,0.0,0.0,0.0,179.91423287465025,0.0,0.0,,,,,,,,,,,,,,,,,,,,
K401_1p25nM-RT,Rep1,600.0,10.0,0.1666666666666666,181.12790878267788,0.0515649602792325,1.9098133436752815,,,,,,,,,,,,,,,,,,,,
K401_1p25nM-RT,Rep1,1200.0,20.0,0.3333333333333333,181.86865049687347,0.0830365556343222,3.0754279864563614,,,,,,,,,,,,,,,,,,,,
K401_1p25nM-RT,Rep1,1800.0,30.0,0.5,182.9324256840224,0.1282327442614095,4.749360898570714,,,,,,,,,,,,,,,,,,,,
K401_1p25nM-RT,Rep1,2400.0,40.0,0.6666666666666666,184.06285766169597,0.1762609531444874,6.528183449795833,,,,,,,,,,,,,,,,,,,,
K401_1p25nM-RT,Rep1,3000.0,50.0,0.8333333333333334,185.29992091121747,0.2288195619976045,8.47479859250386,,,,,,,,,,,,,,,,,,,,
K401_1p25nM-RT,Rep1,3600.0,60.0,1.0,186.3794827928137,0.2746864735637642,10.173573094954222,,,,,,,,,,,,,,,,,,,,
K401_1p25nM-RT,Rep1,4200.0,70.0,1.1666666666666667,187.18244420178868,0.3088015720720976,11.437095261929542,,,,,,,,,,,,,,,,,,,,
K401_1p25nM-RT,Rep1,4800.0,80.0,1.3333333333333333,187.77702458920427,0.334063269908484,12.372713700314222,,,,,,,,,,,,,,,,,,,,
K401_1p25nM-RT,Rep1,5400.0,90.0,1.5,188.51673169787608,0.3654909083947046,13.53670031091498,,,,,,,,,,,,,,,,,,,,
K401_1p25nM-RT,Rep1,6000.0,100.0,1.6666666666666667,188.4057995254673,0.3607777777919527,13.362139918220464,,,,,,,,,,,,,,,,,,,,
K401_1p25nM-RT,Rep1,6600.0,110.0,1.8333333333333333,189.036870664752,0.387589843529887,14.355179389995811,,,,,,,,,,,,,,,,,,,,
K401_1p25nM-RT,Rep1,7200.0,120.0,2.0,189.6316087518548,0.4128582414894719,15.291045981091557,,,,,,,,,,,,,,,,,,,,
K401_1p25nM-RT,Rep1,7800.0,130.0,2.1666666666666665,190.07163388822917,0.4315534125223075,15.983459723048426,,,,,,,,,,,,,,,,,,,,
K401_1p25nM-RT,Rep1,8400.0,140.0,2.333333333333333,190.65885495690736,0.456502437942718,16.907497701582145,,,,,,,,,,,,,,,,,,,,
K401_1p25nM-RT,Rep1,9000.0,150.0,2.5,191.01655607776985,0.4716999416313974,17.470368208570278,,,,,,,,,,,,,,,,,,,,
K401_1p25nM-RT,Rep1,9600.0,160.0,2.6666666666666665,192.09068687771344,0.5173361050152474,19.1605964820462,,,,,,,,,,,,,,,,,,,,
K401_1p25nM-RT,Rep1,10200.0,170.0,2.833333333333333,192.5823801661581,0.5382264800490724,19.934314075891574,,,,,,,,,,,,,,,,,,,,
K401_1p25nM-RT,Rep1,10800.0,180.0,3.0,193.20783385143253,0.5647998792772806,20.918514047306687,,,,,,,,,,,,,,,,,,,,
K401_1p25nM-RT,Rep1,11400.0,190.0,3.1666666666666665,193.68225902412567,0.5849565908207643,21.66505891928756,,,,,,,,,,,,,,,,,,,,
K401_1p25nM-RT,Rep1,12000.0,200.0,3.333333333333333,194.5404153236308,0.6214167324489099,23.01543453514482,,,,,,,,,,,,,,,,,,,,
K401_1p25nM-RT,Rep1,12600.0,210.0,3.5,195.26980982851356,0.652406223484693,24.16319346239605,,,,,,,,,,,,,,,,,,,,
K401_1p25nM-RT,Rep1,13200.0,220.0,3.6666666666666665,196.1358319972665,0.6892005591366677,25.525946634691408,,,,,,,,,,,,,,,,,,,,
K401_1p25nM-RT,Rep1,13800.0,230.0,3.8333333333333335,197.1162772360501,0.730856341754945,27.068753398331296,,,,,,,,,,,,,,,,,,,,
K401_1p25nM-RT,Rep1,14400.0,240.0,4.0,198.0141332371206,0.769003188640049,28.481599579261072,,,,,,,,,,,,,,,,,,,,
K401_1p25nM-RT,Rep1,15000.0,250.0,4.166666666666667,199.0168284681387,0.8116042977315603,30.059418434502238,,,,,,,,,,,,,,,,,,,,
K401_1p25nM-RT,Rep1,15600.0,260.0,4.333333333333333,199.823345288244,0.8458704535629358,31.328535317145764,,,,,,,,,,,,,,,,,,,,
K401_1p25nM-RT,Rep1,16200.0,270.0,4.5,200.5581135294385,0.8770882563725912,32.484750236021895,,,,,,,,,,,,,,,,,,,,
K401_1p25nM-RT,Rep1,16800.0,280.0,4.666666666666667,201.67338483263524,0.9244723397753584,34.23971628797624,,,,,,,,,,,,,,,,,,,,
K401_1p25nM-RT,Rep1,17400.0,290.0,4.833333333333333,202.4400848711044,0.9570468160158874,35.44617837095879,,,,,,,,,,,,,,,,,,,,
K401_1p25nM-RT,Rep1,18000.0,300.0,5.0,203.64605260957143,1.008284282394492,37.34386231090711,,,,,,,,,,,,,,,,,,,,
K401_1p25nM-RT,Rep1,18600.0,310.0,5.166666666666667,204.7653070245653,1.0558375946665537,39.10509609876125,,,,,,,,,,,,,,,,,,,,
K401_1p25nM-RT,Rep1,19200.0,320.0,5.333333333333333,205.6273508602996,1.092462904483268,40.46158905493586,,,,,,,,,,,,,,,,,,,,
K401_1p25nM-RT,Rep1,19800.0,330.0,5.5,206.4612357443067,1.1278918362408068,41.77377171262248,,,,,,,,,,,,,,,,,,,,
K401_1p25nM-RT,Rep1,20400.0,340.0,5.666666666666667,207.36025298852852,1.1660880203967423,43.18844519987936,,,,,,,,,,,,,,,,,,,,
K401_1p25nM-RT,Rep1,21000.0,350.0,5.833333333333333,208.49271116824409,1.2142023157112316,44.97045613745301,,,,,,,,,,,,,,,,,,,,
K401_1p25nM-RT,Rep1,21600.0,360.0,6.0,209.59575835629136,1.2610670380490214,46.70618659440821,,,,,,,,,,,,,,,,,,,,
K401_1p25nM-RT,Rep1,22200.0,370.0,6.166666666666667,210.66181063134832,1.3063599723944277,48.383702681275096,,,,,,,,,,,,,,,,,,,,
K401_1p25nM-RT,Rep1,22800.0,380.0,6.333333333333333,211.6552637049391,1.3485684136596423,49.946978283690456,,,,,,,,,,,,,,,,,,,,
K401_1p25nM-RT,Rep1,23400.0,390.0,6.5,212.3884023826989,1.3797169818629031,51.100628957885306,,,,,,,,,,,,,,,,,,,,
K401_1p25nM-RT,Rep1,24000.0,400.0,6.666666666666667,213.55356652179003,1.4292208421221555,52.93410526378352,,,,,,,,,,,,,,,,,,,,
K401_1p25nM-RT,Rep1,24600.0,410.0,6.833333333333333,214.6623410757508,1.4763289007525078,54.6788481760188,,,,,,,,,,,,,,,,,,,,
K401_1p25nM-RT,Rep1,25200.0,420.0,7.0,215.8371631259901,1.5262430927992177,56.52752195552658,,,,,,,,,,,,,,,,,,,,
K401_1p25nM-RT,Rep1,25800.0,430.0,7.166666666666667,216.7648052528332,1.5656554508328735,57.98723891973607,,,,,,,,,,,,,,,,,,,,
K401_1p25nM-RT,Rep1,26400.0,440.0,7.333333333333333,218.15099267174327,1.6245498383072312,60.16851252989743,,,,,,,,,,,,,,,,,,,,
K401_1p25nM-RT,Rep1,27000.0,450.0,7.5,219.25287622725003,1.67136512185717,61.90241192063591,,,,,,,,,,,,,,,,,,,,
K401_1p25nM-RT,Rep1,27600.0,460.0,7.666666666666667,220.63428964653767,1.7300566783292166,64.07617327145248,,,,,,,,,,,,,,,,,,,,
K401_1p25nM-RT,Rep1,28200.0,470.0,7.833333333333333,221.86515004169485,1.7823517490031549,66.0130277408576,,,,,,,,,,,,,,,,,,,,
K401_1p25nM-RT,Rep1,28800.0,480.0,8.0,222.8675274839493,1.824939356331249,67.59034653078699,,,,,,,,,,,,,,,,,,,,
K401_1p25nM-RT,Rep1,29400.0,490.0,8.166666666666666,224.36787752946717,1.888684125416928,69.95126390433065,,,,,,,,,,,,,,,,,,,,
K401_1p25nM-RT,Rep1,30000.0,500.0,8.333333333333334,225.72034827736985,1.946146006247836,72.07948171288281,,,,,,,,,,,,,,,,,,,,
K401_1p25nM-RT,Rep1,30600.0,510.0,8.5,227.3506954317268,2.015413910224276,74.64495963793614,,,,,,,,,,,,,,,,,,,,
K401_1p25nM-RT,Rep1,31200.0,520.0,8.666666666666666,228.8865541901524,2.0806673237170346,77.06175273026052,,,,,,,,,,,,,,,,,,,,
K401_1p25nM-RT,Rep1,31800.0,530.0,8.833333333333334,230.60655839547732,2.1537444507664056,79.76831299134837,,,,,,,,,,,,,,,,,,,,
K401_1p25nM-RT,Rep1,32400.0,540.0,9.0,231.90023344332488,2.208708302331113,81.80401119744865,,,,,,,,,,,,,,,,,,,,
K401_1p25nM-RT,Rep1,33000.0,550.0,9.166666666666666,233.66984614722935,2.283893125711808,84.58863428562252,,,,,,,,,,,,,,,,,,,,
K401_1p25nM-RT,Rep1,33600.0,560.0,9.333333333333334,235.3191459367242,2.353966262676401,87.18393565468152,,,,,,,,,,,,,,,,,,,,
K401_1p25nM-RT,Rep1,34200.0,570.0,9.5,236.7652377322785,2.415405783313392,89.45947345605155,,,,,,,,,,,,,,,,,,,,
K401_1p25nM-RT,Rep1,34800.0,580.0,9.666666666666666,238.6333243333007,2.49477442756408,92.3990528727437,,,,,,,,,,,,,,,,,,,,
K401_1p25nM-RT,Rep1,35400.0,590.0,9.833333333333334,239.5474592429937,2.5336129098940003,93.83751518125928,,,,,,,,,,,,,,,,,,,,
K401_1p25nM-RT,Rep1,36000.0,600.0,10.0,241.00474293756287,2.595527936244116,96.13066430533765,,,,,,,,,,,,,,,,,,,,
K401_1p25nM-RT,Rep1,36600.0,610.0,10.166666666666666,241.9171670445884,2.634293732389024,97.56643453292683,,,,,,,,,,,,,,,,,,,,
K401_1p25nM-RT,Rep1,37200.0,620.0,10.333333333333334,243.2612223637272,2.691398070281925,99.68141001044168,,,,,,,,,,,,,,,,,,,,
K401_1p25nM-RT,Rep1,37800.0,630.0,10.5,244.00674285632363,2.7230726996733616,100.85454443234674,,,,,,,,,,,,,,,,,,,,
K401_1p25nM-RT,Rep1,38400.0,640.0,10.666666666666666,245.2325688084355,2.7751538739900083,102.78347681444475,,,,,,,,,,,,,,,,,,,,
