condition,time_h,velocity_nm_s,expression_nM
K401 160 nM (101324),0.0,0.0,
K401 160 nM (101324),0.1666666666666666,0.0,
K401 160 nM (101324),0.3333333333333333,0.0,
K401 160 nM (101324),0.5,0.0,
K401 160 nM (101324),0.6666666666666666,0.0,
K401 160 nM (101324),0.8333333333333334,0.0,
K401 160 nM (101324),1.0,0.0,
K401 160 nM (101324),1.1666666666666667,0.0,
K401 160 nM (101324),1.3333333333333333,0.0,
K401 160 nM (101324),1.5,0.0,
K401 160 nM (101324),1.6666666666666667,0.0,
K401 160 nM (101324),1.8333333333333333,0.0,
K401 160 nM (101324),2.0,0.0,
K401 160 nM (101324),2.1666666666666665,0.0,
K401 160 nM (101324),2.333333333333333,0.0,
K401 160 nM (101324),2.5,0.0,
K401 160 nM (101324),2.6666666666666665,0.0,
K401 160 nM (101324),2.833333333333333,0.0,
K401 160 nM (101324),3.0,0.0,
K401 160 nM (101324),3.1666666666666665,0.0,
K401 160 nM (101324),3.333333333333333,0.0,
K401 160 nM (101324),3.5,0.0,
K401 160 nM (101324),3.6666666666666665,0.0,
K401 160 nM (101324),3.8333333333333335,0.0,
K401 160 nM (101324),4.0,0.0,
K401 160 nM (101324),4.166666666666667,0.0,
K401 160 nM (101324),4.333333333333333,0.0,
K401 160 nM (101324),4.5,0.0,
K401 160 nM (101324),4.666666666666667,0.0,
K401 160 nM (101324),4.833333333333333,0.0,
K401 160 nM (101324),5.0,0.0,
K401 160 nM (101324),5.166666666666667,0.0,
K401 160 nM (101324),5.333333333333333,0.0,
K401 160 nM (101324),5.5,0.0,
K401 160 nM (101324),5.666666666666667,0.0,
K401 160 nM (101324),5.833333333333333,0.0,
K401 160 nM (101324),6.0,0.0,
K401 160 nM (101324),6.166666666666667,0.0,
K401 160 nM (101324),6.333333333333333,0.0,
K401 160 nM (101324),6.5,0.0,
K401 160 nM (101324),6.666666666666667,0.0,
K401 160 nM (101324),6.833333333333333,0.0,
K401 160 nM (101324),7.0,0.0,
K401 160 nM (101324),7.166666666666667,0.0,
K401 160 nM (101324),7.333333333333333,0.0,
K401 160 nM (101324),7.5,0.0,
K401 160 nM (101324),7.666666666666667,0.0,
K401 160 nM (101324),7.833333333333333,0.0,
K401 160 nM (101324),8.0,0.0,
K401 160 nM (101324),8.166666666666666,0.0,
K401 160 nM (101324),8.333333333333334,0.0,
K401 160 nM (101324),8.5,0.0,
K401 160 nM (101324),8.666666666666666,0.0,
K401 160 nM (101324),8.833333333333334,0.0,
K401 160 nM (101324),9.0,0.0,
K401 160 nM (101324),9.166666666666666,7.730037165434483e-05,
K401 160 nM (101324),9.333333333333334,0.002842033276949475,
K401 160 nM (101324),9.5,0.040958632597204586,
K401 160 nM (101324),9.666666666666666,0.2683066386556618,
K401 160 nM (101324),9.833333333333334,0.9311676556953485,
K401 160 nM (101324),10.0,1.9874616431244216,
K401 160 nM (101324),10.166666666666666,3.0763266948754544,
K401 160 nM (101324),10.333333333333334,4.216627349703992,
K401 160 nM (101324),10.5,5.797210621517284,
K401 160 nM (101324),10.666666666666666,7.7360188367800955,
K401 160 nM (101324),10.833333333333334,9.666653625276222,
K401 160 nM (101324),11.0,11.597337638635917,
K401 160 nM (101324),11.166666666666666,13.365735745124844,
K401 160 nM (101324),11.333333333333334,14.23240870894248,
K401 160 nM (101324),11.5,13.515591858546188,
K401 160 nM (101324),11.666666666666666,12.00838698054773,
K401 160 nM (101324),11.833333333333334,11.228495763167269,
K401 160 nM (101324),12.0,11.324624265451163,
K401 160 nM (101324),12.166666666666666,11.75879128087507,
K401 160 nM (101324),12.333333333333334,12.500181071537135,
K401 160 nM (101324),12.5,13.346373121888039,
K401 160 nM (101324),12.666666666666666,14.453057838835553,
K401 160 nM (101324),12.833333333333334,15.394140763406078,
K401 160 nM (101324),13.0,16.299326990787492,
K401 160 nM (101324),13.166666666666666,17.949318173781855,
K401 160 nM (101324),13.333333333333334,20.411622603566144,
K401 160 nM (101324),13.5,21.88917812178449,
K401 160 nM (101324),13.666666666666666,21.474496380481582,
K401 160 nM (101324),13.833333333333334,20.581537930160433,
K401 160 nM (101324),14.0,21.300254859149167,
K401 160 nM (101324),14.166666666666666,23.65057990758977,
K401 160 nM (101324),14.333333333333334,25.784946576093375,
K401 160 nM (101324),14.5,27.423502066618,
K401 160 nM (101324),14.666666666666666,29.073617069947577,
K401 160 nM (101324),14.833333333333334,30.365222819786755,
K401 160 nM (101324),15.0,30.31578471649803,
K401 160 nM (101324),15.166666666666666,29.512568061137344,
K401 160 nM (101324),15.333333333333334,29.246191146824252,
K401 160 nM (101324),15.5,29.07311286156872,
K401 160 nM (101324),15.666666666666666,28.95162919118937,
K401 160 nM (101324),15.833333333333334,29.80577234165027,
K401 160 nM (101324),16.0,32.66685168104286,
K401 160 nM (101324),16.166666666666668,36.23832726740564,
K401 160 nM (101324),16.333333333333332,37.59166332260378,
K401 160 nM (101324),16.5,37.16037657312465,
K401 160 nM (101324),16.666666666666668,36.485110327668664,
K401 160 nM (101324),16.833333333333332,35.811707909296956,
K401 160 nM (101324),17.0,36.61670674325542,
K401 160 nM (101324),17.166666666666668,39.63166711616171,
K401 160 nM (101324),17.333333333333332,42.42724688904329,
K401 160 nM (101324),17.5,41.5150946666995,
K401 160 nM (101324),17.666666666666668,37.44791570788975,
K401 160 nM (101324),17.833333333333332,32.23490021261779,
K401 160 nM (101324),18.0,27.395359912448782,
K401 160 nM (101324),18.166666666666668,24.11296057149618,
K401 160 nM (101324),18.33333333333333,22.962737360027045,
K401 160 nM (101324),18.5,23.6721513265734,
K401 160 nM (101324),18.666666666666668,24.088662793637344,
K401 160 nM (101324),18.83333333333333,21.053881012186615,
K401 160 nM (101324),19.0,19.340067720300084,
K401 160 nM (101324),19.166666666666668,25.348031461040588,
K401 160 nM (101324),19.33333333333333,29.602808339255574,
K401 160 nM (101324),19.5,31.12892924339696,
K401 160 nM (101324),19.666666666666668,33.42730010758519,
K401 160 nM (101324),19.83333333333333,32.97168262827321,
K401 160 nM (101324),20.0,28.34724920687998,
K401 160 nM (101324),20.166666666666668,23.81211960583844,
K401 160 nM (101324),20.33333333333333,22.63539683779467,
K401 160 nM (101324),20.5,22.531421013476,
K401 160 nM (101324),20.666666666666668,19.53053901652952,
