time (s),A-160.0nM,A-20.0nM,A-40.0nM,A-80.0nM,AcSu2-1.25nM,AcSu2-10.0nM,AcSu2-160.0nM,AcSu2-2.5nM,AcSu2-20.0nM,AcSu2-40.0nM,AcSu2-5.0nM,AcSu2-80.0nM,AdPa-1.25nM,AdPa-10.0nM,AdPa-160.0nM,AdPa-2.5nM,AdPa-20.0nM,AdPa-40.0nM,AdPa-5.0nM,AdPa-80.0nM,B-1.25nM,B-10.0nM,B-160.0nM,B-2.5nM,B-20.0nM,B-40.0nM,B-5.0nM,B-80.0nM,C-1.25nM,C-10.0nM,C-160.0nM,C-2.5nM,C-20.0nM,C-40.0nM,C-5.0nM,C-80.0nM,D-1.25nM,D-10.0nM,D-160.0nM,D-2.5nM,D-20.0nM,D-40.0nM,D-5.0nM,D-80.0nM,DiPu-1.25nM,DiPu-10.0nM,DiPu-160.0nM,DiPu-2.5nM,DiPu-20.0nM,DiPu-40.0nM,DiPu-5.0nM,DiPu-80.0nM,F-1.25nM,F-10.0nM,F-160.0nM,F-2.5nM,F-20.0nM,F-40.0nM,F-5.0nM,F-80.0nM,G-1.25nM,G-10.0nM,G-160.0nM,G-2.5nM,G-20.0nM,G-40.0nM,G-5.0nM,G-80.0nM,H-1.25nM,H-10.0nM,H-160.0nM,H-2.5nM,H-20.0nM,H-40.0nM,H-5.0nM,H-80.0nM,HeAl-1.25nM,HeAl-10.0nM,HeAl-160.0nM,HeAl-2.5nM,HeAl-20.0nM,HeAl-40.0nM,HeAl-5.0nM,HeAl-80.0nM,NaGr-1.25nM,NaGr-10.0nM,NaGr-160.0nM,NaGr-2.5nM,NaGr-20.0nM,NaGr-40.0nM,NaGr-5.0nM,NaGr-80.0nM,ThTr-1.25nM,ThTr-10.0nM,ThTr-160.0nM,ThTr-2.5nM,ThTr-20.0nM,ThTr-40.0nM,ThTr-5.0nM,ThTr-8.0nM,ThTr-80.0nM,ThTr-85.0nM,Unc-10.0nM,Unc-20.0nM,Unc-40.0nM,Unc-80.0nM
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0003852422575969192,0.0004977309326488546,0.00033277178586530424,0.0004074814245131131,0.000412728313577844,0.0003323219065706551,0.00042009032857208097,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00012267912823929098,0.0,0.00017393593533687092,0.0,0.00015779452408323628,0.000637171257187881,0.0002869740979944348,0.0,0.0,0.0,0.0001366062917399173,0.0,0.0,4.195832869988555e-06,0.0,0.00016894201976034407,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.72767181037553e-05,0.00020871310076221147,0.0006429221472791125,0.0,0.00012422822598893678,0.0002483384787646235,0.0005356444828404578,0.0002122926756203097,0.0005234043362892973,0.0008794727912246105,0.0,0.000613933088237018,0.0002918016348537192,0.0007644919624482517,0.0008495637843629109,5.653689893263801e-05,0.0003471454232482376,0.0011095492598219767,0.0008159076077071755,0.0003239501868172489,0.0008931587785583576,0.0006942504680358591,0.0006045377988313367,0.0004952440086648112,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.221239678491496e-05,1.9352350225795586e-05,6.24855461834006e-05,0.0
6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00031412545059096537,0.0009905138011659202,0.0008332320348837763,0.0002846170661668345,0.0006804271696116397,0.0007897704598789819,0.0005103087015092757,0.00048672354536521403,,,,,,,,,,,,,,
12.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00029282958289328993,0.0008759719057159693,0.0008012633616649843,0.000349053427134274,0.0006048086507343336,0.00045165996043760275,0.0004417864538417192,0.0004690496985580316,,,,,,,,,,,,,,
18.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0003363816445688644,0.0005468234785817218,0.0006741668055097869,0.0002406254630555041,0.0005384309614886597,0.0003785914872945218,0.0001694405478027256,0.0004110870264512468,,,,,,,,,,,,,,
24.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0002812810999130035,0.0005330116126132186,0.000665704234219992,0.00016669432599327044,0.00048094991198441886,0.00038831041249448795,0.00017329985296027895,0.00036754627560951986,,,,,,,,,,,,,,
30.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00020931075062809564,0.00043424334388405265,0.0005720179353007451,0.00024698750304011553,0.00042254332005458255,0.0003113094178285162,0.0002217147218372445,0.0003806718293693983,,,,,,,,,,,,,,
36.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00030798622187096485,0.00037679172687218816,0.0005955196588424453,0.00017434531454903288,0.0004068936260186451,0.0002665446644938605,0.00017647941349015295,0.00039157741914840934,,,,,,,,,,,,,,
42.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0002521758919856998,0.0003149301008784476,0.0005836830536537174,0.0001757157497726346,0.000349601333655603,0.00026826330312935124,0.00018054717853173804,0.00043855337968934014,,,,,,,,,,,,,,
48.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00018687479952732766,0.00032537705458821807,0.0006115867591339188,0.00021776602460573112,0.00035199436555652467,0.0002334927052849533,0.00016141897741111586,0.000405968934946136,,,,,,,,,,,,,,
54.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00019111186221101962,0.00026417242993259367,0.0005741240612119195,0.00010373421127574807,0.000291935297288112,0.00021774668672850842,0.00011386932651255963,0.00041618018547314654,,,,,,,,,,,,,,
