condition,protein,DNA_nM,kDa,total_duration_h,mean_velocity,max_velocity,velocity_std,velocity_cv,velocity_range,max_continuous_motion_h,velocity_decay_rate,mean_protein_conc,max_protein_conc,final_protein_conc,protein_conc_at_max_vel,protein_conc_std,protein_conc_cv,mean_vorticity,max_vorticity,vorticity_at_max_vel,mean_divergence,max_divergence,divergence_at_max_vel,mean_shear,max_shear,shear_at_max_vel,mean_strain,max_strain,strain_at_max_vel,mean_correlation_length,max_correlation_length,correlation_length_at_max_vel,mean_distance_[m]_mean,max_distance_[m]_mean,distance_[m]_mean_at_max_vel,mean_power,max_power,power_at_max_vel,total_work,energy_efficiency,mean_energy_per_protein,mean_intensity,max_intensity,intensity_at_max_vel,intensity_std,intensity_cv,kmeans_cluster,hierarchical_cluster,behavioral_class
K401_1p25nM,A,1.25,78.0,43.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,270.3574775313889,547.3722685328094,446.6049572981904,0.0,192.15251862725398,0.7107349882895131,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,351.72492742321504,527.7663081786403,179.91423287465025,122.11187197798729,0.3471800331941088,0,0,Slow-Sustained
K401_2p5nM,A,2.5,78.0,43.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,344.42548622034457,649.2793940480352,538.2653949060394,0.0,222.77264631822092,0.6467948953571432,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,399.1931045620243,592.926091413252,180.3125966209258,141.57079522948112,0.3546423863829158,0,0,Slow-Sustained
K401_5nM,A,5.0,78.0,43.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,495.6521734020577,873.3970223940041,752.3597179032884,0.0,294.5259242007288,0.5942189704912653,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,494.76966651076054,734.8244467966654,179.7854280710222,187.1696098866366,0.3782964529871112,0,0,Slow-Sustained
K401_10nM,A,10.0,78.0,43.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,677.9079882174582,1149.2209264683934,1031.7694850512908,0.0,390.7659219496556,0.5764291448713632,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,611.6836292293945,911.2004171873544,180.8768198185498,248.32960075345358,0.4059771896565253,0,0,Slow-Sustained
K401_20nM,A,20.0,78.0,43.5,1.4243100390427241e-09,3.3450762054299547e-08,2.9688218430138276e-09,2.0843929773949825,3.3450762054299547e-08,,0.0,793.809586998194,1414.2413857088454,1314.6373993442642,793.809586998194,505.4568658188291,0.6367482505851608,2.5026187266536957e-05,0.0003905174420401,4.942317462838976e-05,0.0007482819625910946,0.0306154066494817,0.0186431648849214,-6.46258713067546e-08,1.2710468818286078e-06,-7.275595044210216e-06,1.17385921538325e-07,8.234990503092338e-06,8.234990503092338e-06,0.00028450585926997185,0.0004776115069944,0.0002303472027536,0.00016170550931649184,0.0002151390772842,1.6056365786063782e-05,3.204645283022583e-22,4.217704434900475e-20,4.217704434900475e-20,1.0447143622653614e-19,inf,inf,686.0952175335495,1080.3762236659445,686.0952175335495,321.215066709561,0.4681785537935976,0,0,Slow-Sustained
K401_40nM,A,40.0,78.0,43.5,2.9835527192871885e-09,9.155116509852233e-08,6.181349597821343e-09,2.0718084040754445,9.155116509852233e-08,0.1666666666666667,0.0,797.3923719994702,1417.6662691108618,1286.4030651421574,1.9521534600328465,510.34664687933434,0.6400194744773322,3.368266732832937e-06,0.0079921480740697,-0.0135521218741192,0.0007010052461981761,0.0109122383690949,-0.0349220764508428,3.0512414012674943e-07,7.962680918297286e-06,7.962680918297286e-06,-1.8188222639751152e-07,3.1510536461452848e-06,3.1510536461452848e-06,0.00025266653335494633,0.0004217431874247,0.0002292393508151,0.000328930454026307,0.0004619463653571,3.698124184007006e-05,1.751318982347687e-21,3.1899171759280085e-19,3.1899171759280085e-19,9.14188508785492e-19,inf,inf,685.0106339675169,1079.1912944993871,179.51273663913292,324.32249576189145,0.47345614751036225,0,0,Slow-Sustained
K401_80nM,A,80.0,78.0,43.5,7.0968815843181835e-09,1.868499104464315e-07,1.3032944443209446e-08,1.8364325638472037,1.868499104464315e-07,,0.0,767.9683165652531,1442.4959894755802,1318.6928312653845,767.9683165652531,524.2031844393298,0.6825843893975138,0.000337163853306591,0.0826620522974978,0.0654293670874881,0.001039065927788424,0.028422781775101,-0.0188070990006499,2.886593105439404e-07,1.4176294653492646e-05,-4.239861320527592e-05,-1.0011310225372197e-07,1.145134005242441e-05,-0.0001345717458292,0.0002003998584349354,0.000370817109954,0.0003067361363507,0.0007130129861367992,0.0010964216152784,2.2421989253571784e-05,1.1097367932501874e-20,7.421400991723759e-19,7.421400991723759e-19,1.4504259887779934e-17,inf,inf,669.9254772946285,1098.5841148627176,669.9254772946285,333.12824940317796,0.49726165177126186,0,0,Slow-Sustained
K401_160nM,A,160.0,78.0,43.5,1.1397348141011318e-08,2.7955352771046225e-07,1.810699325796465e-08,1.588702304601004,2.7955352771046225e-07,,0.0,854.3249524399413,1547.097312735014,1384.0611319436,0.0,557.5171628092291,0.6525820897738819,0.0009520677365263244,0.0633307076778223,-0.0322220653225684,0.0012171720626749664,0.0335523566568764,0.0173207665882163,3.656037029904328e-08,3.065267654113951e-05,-2.8299315607821085e-05,3.0752415832027664e-07,2.1168115126159543e-05,1.3192276389327244e-05,0.00019214125322144257,0.0003992989267956,0.0003429034592082,0.001121653336039066,0.001771470711662,0.0,2.1915508180867474e-20,1.3292792244258305e-18,1.3292792244258305e-18,5.73090538929686e-17,inf,inf,719.6065583498785,1159.8595947118038,176.68773550417308,354.29909999022635,0.49235112698620415,0,0,Slow-Sustained
Kif3_1p25nM_1,H,1.25,93.0,3.977777777777778,1.1056657425141942e-08,2.482664364724644e-07,1.1860193067980535e-08,1.0726743727278207,2.482664364724644e-07,,0.0,13.795096393328532,39.08350777087501,39.08350777087501,13.795096393328532,9.888583851886244,0.716818757183058,0.0009629887065137117,0.0334951778122859,0.0084656601937807,0.007634405815529348,0.0577923574443531,-0.0074210741331066,-2.361881984654739e-06,3.1396746806125995e-05,8.643418446102753e-06,1.6273256849222828e-06,3.352049780617814e-05,-3.264672351293964e-05,6.424373265113994e-05,0.000126483499516,8.647814501759638e-05,0.00010865875954452893,0.0001584936216089,3.904050592420345e-06,1.1942561932254264e-19,1.648364626943434e-17,1.648364626943434e-17,1.9549973883100267e-16,inf,inf,181.7774331132571,188.37888622283936,181.7774331132571,2.581380919655573,0.014200777706258147,0,0,Multiphase
Kif3_2p5nM_1,H,2.5,93.0,3.977777777777778,4.397497763802745e-08,2.251549505658126e-07,4.5840665865788416e-08,1.0424261324955764,2.251549505658126e-07,0.4666666666666667,0.0,45.88789064093944,133.84618767331642,133.84618767331642,0.0,40.28093090074245,0.877811778622165,0.016681327913515617,0.1960705143568999,-0.0058419949600229,0.010404103257522132,0.1332365739941,-0.0162443035412555,6.054170548141578e-06,0.0001159742502629,3.995325879453795e-06,1.2810301609288381e-06,7.158426919596178e-05,3.2191543266035054e-05,0.00011451222193833459,0.0002853268878805,0.0002424902208783,0.00041727891959644666,0.0006310866385619,0.0,4.72284996976537e-19,6.043835813011016e-18,1.724267086324885e-18,6.300281859667008e-16,inf,inf,189.58625957568486,212.5474715232849,177.6073830127716,10.515198941586256,0.05546392953329234,0,0,Multiphase
